1,1,"make","GNU Make","3.81","2006-04-01","2009-10-25"
2,2,"emacs","GNU Emacs","23.1","2009-07-29","2009-10-25"
3,3,"mdk","GNU MIX Development Kit","1.2.5","2008-03-20","2009-10-25"
4,4,"gcc","GNU Compiler Collection","4.4.2","2009-10-15","2009-10-25"
5,5,"gmp","GNU Multiple Precision Arithmetic Library","4.3.1","2009-05-12","2009-10-25"
6,6,"ncurses","Ncurses","5.7","2008-11-02","2009-09-28"
7,7,"readline","GNU readline","6.0","2009-02-20","2009-09-29"
8,8,"texinfo","Texinfo","4.13a","2008-04-20","2009-09-27"
9,9,"mpfr","GNU Multiple-precision Floating-point library with correct rounding","2.4.1","2009-02-25","2009-09-28"
10,10,"glibc","GNU C Library","2.10.1","2009-05-10","2009-09-30"
11,11,"autoconf","Autoconf","2.64","2009-07-26","2009-09-30"
12,12,"automake","Automake","1.11","2009-05-17","2009-09-29"
13,13,"expat","Expat XML Parser","2.0.1","2007-06-05","2009-10-02"
14,14,"libxml2","The XML C parser and toolkit of Gnome","2.7.6","2009-10-06","2009-10-27"
15,15,"python","Python Programming Language","2.6.4","2009-10-25","2009-10-28"
16,16,"libxslt","The XSLT C library for GNOME (provides xsltproc)","1.1.26","2009-09-24","2009-10-14"
17,17,"freetype","Freetype font engine","2.3.11","2009-10-10","2009-10-28"
18,18,"pciutils","PCI Utilities","3.1.4","2009-08-14","2009-12-25"
19,19,"glib","Glib utility library","2.22.3","2009-12-21","2009-12-27"
20,20,"gettext","GNU internationalization and localization i18n library","0.17","2007-11-06","2009-10-04"
21,21,"intltool","Internationalization Tool Collection","0.41.0","2009-07-16","2009-10-28"
22,22,"linux","Linux kernel","2.6.31.4","2009-10-12","2009-10-19"
23,23,"wget","GNU Wget","1.12","2009-09-22","2009-10-22"
24,24,"xterm","xterm terminal emulator","250","2009-08-01","2009-10-24"
25,25,"google-chrome","Google Chrome web browser","092024","2009-10-24","2009-10-24"
26,26,"libpng","library for reading and writing PNGs","1.2.41","2009-12-17","2009-12-17"
27,27,"cairo","2D graphics library","1.8.8","2009-06-16","2009-12-29"
28,28,"pango","library for laying out and rendering of text","1.26.0","2009-09-21","2009-12-29"
29,29,"atk","Accessibility Toolkit","1.29.4","2009-12-29","2009-12-29"
30,30,"gtk+","GIMP toolkit","2.18.0","2009-09-23","2009-09-23"
31,31,"nss","Network Security Services","3.12.5","2009-12-15","2009-12-28"
32,32,"libIDL","libIDL","0.8.13","2009-03-27","2009-12-28"
33,33,"libglade","(deprecated) loading Glade interface files","2.6.4","2009-03-17","2009-12-28"
34,34,"ORBit","Object Request Broker for the GNOME project","2.14.17","2009-08-01","2009-12-27"
35,35,"GConf","","2.28.0","2009-09-22","2009-11-07"
36,36,"alsa-lib","ALSA library","1.0.22","2009-09-16","2009-12-16"
37,37,"wireless_tools","","29","2009-09-23","2009-09-23"
38,38,"pidgin","Chat client","2.6.3","2009-10-16","2009-11-21"
39,39,"kdelibs","kdelibs","4.3.4","2009-12-12","2009-12-12"
